Incident No.,Reported Date,Reported Time,Category,Building/ Site Name,Incident Summary,Incident Status
1-2013-001456,05/13/2013,7:15 PM,Larceny,Vanderbilt Hall,"On time and date of report, a student states that between 7pm and time/date of report, his Mac laptop computer valued at $1,200 was taken from a room on the 2nd floor while the property was left unattended. Declined police notification.",Open/Under Investigation
1-2013-001457,05/13/2013,9:30 PM,Larceny,Starbucks on the Square,"On time and date of report, a student states that between 9:15pm and 9:20pm on date of report, his Mac laptop valued in excess of $1,000 was taken from a table while the property was left unattended. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-001459,05/14/2013,12:40 AM,Larceny,On Campus,"On time and date of report, a student states that between 8:30pm May 13th and 12:30am on date of report, his bicycle valued at $280 was taken from a bike rack located on the corner of Mercer Street and West 4th Street. NYPD notified and a police report was filed.",Closed/No Identifiable Suspect
1-2013-001465,05/14/2013,12:15 PM,Larceny,Education Building,"On time and date of report, a student states that between 4pm and 4:30pm on May 9th, his guitar valued at $1,000 was taken from a 9th floor staricase while the property was left unattended. Declined police notification.",Closed/No Identifiable Suspect
1-2013-001468,05/14/2013,1:25 PM,Larceny,Bobst Library,"On time and date of report, a student states that between 1pm and 1:15pm, his Mac laptop computer valued at $1,300 was taken from the lower level while the property was left unattended. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-001469,05/14/2013,12:50 PM,Larceny,Furman Hall,"On time and date of report, a staff member states that between 1:30pm May 7th and time/date of report, a pair of computer speaker in a purple bag were taken. Declined police notification.",Opem/Under Investigation
1-2013-001470,05/14/2013,1:40 PM,Larceny,Bobst Library,"On time and date of report, a student states that between 1:30pm and 1:40pm, his Mac laptop computer valued at $1,000 was taken from the lower level while the property was left unattended. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-001485,05/15/2013,4:10 PM,Larceny,Third Avenue North Residence,"On the above time and date, Public Safety was apprised that since December 1, 2012 and continuing thru the date of report, a student states money has been taken from her declining dollars on campus cash, and believes a person known to her is responsible.",Open/Under Investigation
1-2013-001490,05/15/2013,4:55 PM,Larceny,Bobst Library,"On time and date of report, a student states her Mac laptop valued at $1,500 was taken from a study room on the 8th floor between 4:30pm and 4:40pm on date of report while property was unattended. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-001497,05/16/2013,3:10 PM,Larceny,Bobst Library,"On time and date of report, a student states that between 2:45pm and 3pm on date of report, his Mac laptop computer valued at $4,000 was taken while the property was left unattended at a location in the LL2 level. NYPD notified and a polic report was filed.",Open/Under Investigation
1-2013-001498,05/16/2013,10:10 PM,Larceny,On Campus,"On time and date of report, a non NYU affilliated individual student states that between 6pm and 10:05pm on date of report, his bicycle of undetermined value was taken from a fence on Sullivan Street adjacent to Vanderbilt Hall. Advised to file a polcie report.",Closed/No Identifable Suspect
1-2013-001512,05/17/2013,4:11 PM,Attempted Larceny,Off Campus,"On time and date of report, an unidentified male and a faculty member were arguing infront of the Fairchild Building concerning the male who had tried to remove a bicycle part from the faculty member's bike. NYPD notified and responded.",Closed/Complainant Declined to File A Report
1-2013-001533,05/20/2013,10:25 AM,Controlled Substance,Third Avenue North Residence,"On time and date of report, Public Safety assisted residence life with the confiscation of marijuana from a student's room.",Closed/Referred to University Judicial
1-2013-001534,05/20/2013,1:23 PM,Criminal Mischief,40 West 4th Street,"On time and date of report, Public Safety was apprised of a vandalized poster board on the 3rd floor. It is unknown when this occurred or who was responsible.",Closed/No Indentifiable Suspect
1-2013-001537,05/20/2013,5:36 PM,Larceny,Bobst Library,"On time and date of report, a student states that between 10:30am and 2pm on May 15th, a Mac laptop computer she borrowed from the library was taken while the property was left unattended on the LL1 level. NYPD notified and a police report was filed.",Closed/No Identifiable Suspect
1-2013-001538,05/20/2013,3:50 PM,Controlled Substance,Third Avenue North Residence,"On time and date of report, Public Safety assisted residence life with the confiscation of drug paraphernalia from a student's room.",Closed/Referred to University Judical
1-2013-001542,05/20/2013,3:45 PM,Larceny (reclassified as missing property/recovered),Bobst Library,"On time and date of report, a student states that between 1pm and time/date of report, his Mac laptop computer valued in excess of $1,000 was taken from the LL1 level while the property was left unattended. Declined police notification. NOTE: Complainant notified Public Safety he found his computer.",Closed/Property Recovered
1-2013-001543,05/20/2013,7:45 PM,Larceny,40 West 4th Street,"On time and date of report, a student states that while sleeping on the UC level of the building between 5:30pm and and time/date of report, her wallet containing credit cards, cash and personal identification was taken. Complainant is unsure if wallet was in handbag on on the desk. Declined police notification",Closed/No Identifiable Suspect
1-2013-001561,05/22/2013,2:00 PM,Larceny,Vanderbilt Hall,"On time and date of report, a faculty manager states that between 10:00am May 14th and 10:00am on date of report, 18 Macys gift cards of unknown value were stolen from an unlocked file cabinet in a room on the 4th floor. Macys notified, cancelled the stolen cards and reissued new cards. Declined police notification.",Open/Under Investigation
1-2013-001567,05/22/2013,8:05 PM,Controlled Substance,Palladium Hall,"On time and date of report, Public Safety assisted residence life staff with the confiscation of drug paraphernalia from a student's room.",Closed/Referred to University Judicial
1-2013-001571,05/23/2013,8:35 AM,Sexual Offense,Lafayette Street Residence,"On time and date of report, Public Safety was apprised of a sexual assault that occurred April 26th where a female student states that she was fondled in her room by a male student known to her. Matter adjudicated by Office of Community Standards.",Closed/Referred to University Judicial
